job_title,experience_level,salary_in_usd,company_location
Machine Learning Engineer,MI,96428,CA
Machine Learning Engineer,MI,82142,CA
Data Analyst,SE,180000,US
Data Analyst,SE,132000,US
Data Analyst,SE,180000,US
Data Analyst,SE,132000,US
Data Analyst,SE,138510,AU
Data Analyst,SE,125693,AU
Data Analyst,EN,55714,CA
Data Analyst,EN,47142,CA
Data Analyst,SE,65000,CA
Data Analyst,SE,55000,CA
Data Analyst,SE,221600,US
Data Analyst,SE,138500,US
Data Analyst,SE,189000,US
Data Analyst,SE,97000,US
Data Analyst,SE,189000,US
Data Analyst,SE,97000,US
Data Analyst,SE,180000,US
Data Analyst,SE,126000,US
Data Analyst,MI,59493,GB
Data Analyst,MI,50632,GB
Data Analyst,SE,251600,US
Data Analyst,SE,120100,US
Data Analyst,MI,133861,US
Data Analyst,MI,80317,US
Data Analyst,EN,114000,US
Data Analyst,EN,76000,US
Data Analyst,MI,104806,CA
Data Analyst,MI,78602,CA
Data Scientist,MI,34000,BR
Data Scientist,MI,34000,BR
Data Scientist,SE,130000,US
Data Scientist,SE,130000,US
Data Lead,SE,61575,GB
Data Lead,SE,49260,GB
Data Engineer,SE,63291,GB
Data Engineer,SE,50632,GB
Data Engineer,SE,165360,US
Data Engineer,SE,110240,US
Data Engineer,SE,195500,US
Data Engineer,SE,117500,US
Data Scientist,SE,217400,US
Data Scientist,SE,130400,US
Data Scientist,SE,207000,US
Data Scientist,SE,124200,US
Data Scientist,MI,31200,IN
Data Scientist,MI,30000,IN
Data Scientist,SE,190000,US
Data Scientist,SE,142500,US
Data Scientist,EN,62400,US
Data Scientist,EN,41600,US
Data Manager,MI,64476,IE
Data Manager,MI,53901,IE
Data Management Lead,SE,81308,IE
Data Management Lead,SE,62546,IE
Data Manager,MI,68000,US
Data Manager,MI,57800,US
Data Engineer,EX,190000,US
Data Engineer,EX,150000,US
Data Engineer,SE,257500,US
Data Engineer,SE,200000,US
Data Engineer,MI,90000,US
Data Engineer,MI,75000,US
Data Analyst,SE,117040,US
Data Analyst,SE,74500,US
Data Analyst,EN,56343,US
Data Analyst,EN,54500,US
Data Lead,SE,265080,US
Data Lead,SE,176720,US
Data Engineer,SE,90000,US
Data Engineer,SE,78050,US
Data Engineer,SE,181000,US
Data Engineer,SE,158600,US
Data Engineer,SE,185000,US
Data Engineer,SE,110000,US
Data Engineer,SE,220700,US
Data Engineer,SE,175800,US
Data Engineer,MI,145548,US
Data Engineer,MI,96012,US
Data Engineer,EN,165600,US
Data Engineer,EN,145100,US
Data Engineer,SE,265080,US
Data Engineer,SE,176720,US
Encounter Data Management Professional,SE,107800,US
Encounter Data Management Professional,SE,78400,US
Data Scientist,SE,197400,US
Data Scientist,SE,158600,US
Data Scientist,SE,197400,US
Data Scientist,SE,158600,US
Data Scientist,MI,219203,US
Data Scientist,MI,162019,US
Data Scientist,SE,183500,US
Data Scientist,SE,89400,US
Data Scientist,SE,151646,US
Data Scientist,SE,89203,US
Data Scientist,MI,150500,US
Data Scientist,MI,73300,US
Data Scientist,SE,165600,US
Data Scientist,SE,133000,US
Data Scientist,SE,197400,US
Data Scientist,SE,158600,US
Data Analyst,SE,136000,US
Data Analyst,SE,82600,US
Data Analyst,SE,124400,US
Data Analyst,SE,99100,US
Data Analyst,EN,60000,US
Data Analyst,EN,42000,US
Data Analyst,EN,55000,US
Data Analyst,EN,47000,US
Data Specialist,MI,72000,US
Data Specialist,MI,42000,US
Machine Learning Scientist,MI,204600,US
Machine Learning Scientist,MI,84500,US
Analytics Engineer,EN,80000,US
Analytics Engineer,EN,60000,US
Data Scientist,MI,190035,US
Data Scientist,MI,142526,US
Data Scientist,MI,126000,US
Data Scientist,MI,100800,US
Data Engineer,MI,197730,US
Data Engineer,MI,103450,US
Data Engineer,SE,252100,US
Data Engineer,SE,114600,US
Data Engineer,MI,127430,US
Data Engineer,MI,77570,US
Data Analyst,MI,156700,US
Data Analyst,MI,74600,US
Data Scientist,MI,220000,US
Data Scientist,MI,96700,US
Data Modeler,SE,192540,US
Data Modeler,SE,136380,US
Data Visualization Analyst,MI,172000,US
Data Visualization Analyst,MI,75600,US
Data Analyst,SE,117700,US
Data Analyst,SE,79800,US
Data Analyst,SE,201400,US
Data Analyst,SE,114500,US
Data Analyst,EN,99000,US
Data Analyst,EN,55100,US
Data Analyst,EN,83366,US
Data Analyst,EN,57949,US
Data Management Consultant,EN,42000,US
Data Management Consultant,EN,40000,US
Data Architect,SE,140289,US
Data Architect,SE,112231,US
Data Governance Analyst,MI,130000,US
Data Governance Analyst,MI,100000,US
Data Lead,SE,145000,US
Data Lead,SE,115000,US
Data Analyst,MI,115000,US
Data Analyst,MI,75000,US
Data Analyst,MI,100000,US
Data Analyst,MI,85000,US
Data Analyst,SE,140000,US
Data Analyst,SE,120000,US
Machine Learning Engineer,SE,165000,US
Machine Learning Engineer,SE,118000,US
Machine Learning Engineer,MI,223600,US
Machine Learning Engineer,MI,129300,US
Data Engineer,SE,180000,US
Data Engineer,SE,150000,US
Data Scientist,SE,253000,US
Data Scientist,SE,167300,US
Data Manager,MI,36842,ES
Data Manager,MI,31578,ES
Data Governance Analyst,SE,205700,US
Data Governance Analyst,SE,150000,US
Data Governance Analyst,SE,205700,US
Data Governance Analyst,SE,150000,US
Machine Learning Engineer,MI,230000,US
Machine Learning Engineer,MI,141950,US
Machine Learning Engineer,MI,270000,CA
Machine Learning Engineer,MI,180000,CA
Machine Learning Engineer,SE,250000,US
Machine Learning Engineer,SE,140000,US
Machine Learning Engineer,SE,248300,US
Machine Learning Engineer,SE,165500,US
Data Analyst,SE,162500,US
Data Analyst,SE,125000,US
Data Analyst,SE,122616,US
Data Analyst,SE,69729,US
Data Analyst,SE,189600,US
Data Analyst,SE,118500,US
Data Engineer,SE,200000,US
Data Engineer,SE,170000,US
Data Engineer,MI,125223,AU
Data Engineer,MI,110629,AU
Data Engineer,SE,200000,US
Data Engineer,SE,168000,US
Data Engineer,MI,180000,US
Data Scientist,MI,250000,US
Data Scientist,MI,200000,US
Data Scientist,SE,151800,US
Data Scientist,SE,126900,US
Data Scientist,SE,135000,US
Data Scientist,SE,115000,US
Data Scientist,SE,243600,CA
Data Scientist,SE,154000,CA
Data Scientist,SE,159800,US
Data Scientist,SE,243600,CA
Data Scientist,SE,154000,CA
Data Scientist,SE,159800,US
Data Scientist,SE,180000,US
Data Scientist,SE,135000,US
Data Scientist,MI,251600,US
Data Scientist,MI,120100,US
Data Scientist,SE,180000,US
Data Scientist,SE,150000,US
Data Scientist,EN,23086,HU
Data Scientist,EN,19238,HU
Analytics Engineer,MI,63157,IT
Analytics Engineer,MI,42105,IT
Analytics Engineer,SE,180000,US
Analytics Engineer,SE,135000,US
Data Analyst,EN,202000,US
Data Analyst,EN,67600,US
Data Analyst,SE,115450,US
Data Analyst,SE,70275,US
Data Analyst,SE,131185,US
Data Analyst,SE,78707,US
Head of Data,EX,113924,GB
Head of Data,EX,107594,GB
Data Analyst,EN,126000,US
Data Analyst,EN,84000,US
Lead Data Analysis,SE,196100,US
Lead Data Analysis,SE,130700,US
Data Architect,SE,165360,US
Data Architect,SE,110240,US
Data Analyst,EX,177500,US
Data Analyst,EX,110000,US
Machine Learning Engineer,SE,79654,NL
Machine Learning Engineer,SE,55755,NL
